idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000896314,"JUAN FERNANDO LEON CANO, EDWARD JAVIER ORDONEZ",Análisis bibliométrico en acciones colectivas para la construcción de paz,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria","Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca-- setes, vídeos y películas - Otro"
0000896314,EDWARD JAVIER ORDONEZ,Innovación en el proceso y sistema de la editorial de la Universidad del Pacífico.,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,,"Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca-- setes, vídeos y películas - Otro"
0000896314,EDWARD JAVIER ORDONEZ,1,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2019,,,
0000004900,"INGRID SELENE TORRES ROJAS, YULI SIDNEY GARCES BOLANOS, DANIEL ANTONIO LEON BLANCO","La Regulación Emocional desde la metodología M-Learning, en los niños y niñas del grado transición en Popayán-Cauca (I. E. La Pamba)",Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2022,"Educación emocional, Regulación Emocional, M-Learning, Primera infancia ","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación preescolar y básica
0000004900,INGRID SELENE TORRES ROJAS,"La Regulación Emocional desde la metodología M-Learning, en los niños y niñas del grado transición en Popayán-Cauca (I.E. Niño Jesús de Praga)",Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2022,"Educación emocional, Primera infancia , M-Learning, Regulación Emocional","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación preescolar y básica
0000004900,"INGRID SELENE TORRES ROJAS, YULI SIDNEY GARCES BOLANOS, DANIEL ANTONIO LEON BLANCO","Procesos de la regulación emocional en la primera infancia en las Instituciones Educativas: Normal Superior y Gabriela Mistral, Popayán - Cauca (IE Normal Superior de Popayán)",Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2022,"Educación emocional, Primera infancia , Regulación Emocional, Estrategia pedagógica","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación preescolar y básica
0000004900,INGRID SELENE TORRES ROJAS,"Procesos de la regulación emocional en la primera infancia en las Instituciones Educativas: Normal Superior y Gabriela Mistral, Popayán - Cauca (IE Gabriela Mistral)",Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2022,"Primera infancia , Regulación Emocional, Educación emocional, Estrategia pedagógica","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación preescolar y básica
0000004900,INGRID SELENE TORRES ROJAS,Ecoestación,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2017,,,
0000004900,INGRID SELENE TORRES ROJAS,Reconocimiento del MEN de la Renovación de registro calificado del Programa de Licenciatura en Educación Infantil,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2018,,,
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad Creazion,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,
