idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0001380950,FREDY EDUARDO LOPEZ DAZA,Distribución en planta de 21 centros paneleros,Producción técnica - Productos tecnológicos - Otro,False,Diseños de trapiches paneleros,No Aplica,Colombia,2008,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Diseños y planos para la construcción de cuatro trapiches paneleros,Producción técnica - Productos tecnológicos - Otro,False,Diseños y Planos de Trapiches Paneleros,No aplica,Colombia,2009,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Establecimiento de Bosques endoenergéticos en 200 fincas de productores de panela,Producción técnica - Productos tecnológicos - Otro,False,Bosques Endoenergeticos,No Aplica,Colombia,2009,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,"Planos de construcción, incluyendo el estructural, hidráulico y sanitario, para trapiches Paneleros Pilotos",Producción técnica - Productos tecnológicos - Otro,False,Diseños y Palnos de trapiches paneleros,NoAplica,Colombia,2007,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Introducción de nuevas variedades de caña para la producción de panela,Producción técnica - Productos tecnológicos - Otro,False,Variedades de caña para panela en el Cauca,No aplica,Colombia,2009,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Construcción de cuatro trapiches paneleros,Producción técnica - Productos tecnológicos - Otro,False,Adecuación de Trapiches Paneleros,No Aplica,Colombia,2009,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Modelo virtual para la adecuación de la agroindustria panelera,Producción técnica - Productos tecnológicos - Otro,False,Modelo virtual para la adecuación de la agroindustria panelera,No Aplica,Colombia,2007,,,
0001380950,FREDY EDUARDO LOPEZ DAZA,Diseño de hornillas paneleras para 21 centros productivos,Producción técnica - Productos tecnológicos - Otro,False,Diseño hornillas paneleras,No Aplica,Colombia,2008,,,
0000639893,SONIA DEL CONSUELO GAVIRIA ARMERO,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACION DE PRODUCTORES AGROPECURARIOS DEL ROSARIO CAJIBIO - NUEVA INTEGRACION - ASPROANIN,Producción técnica - Productos tecnológicos - Otro,False,PROTOCOLO DE CERTIFICACION,10-11-2007 - No aplica. Restricción de no patentamiento ni registro,Colombia,2007,,,
0000639893,SONIA DEL CONSUELO GAVIRIA ARMERO,MODELO DE GESTIÓN PARTICIPATIVA PARA LA ASOCIACION DE MUJERES CAFICULTORAS DEL CAUCA - AMUCC,Producción técnica - Productos tecnológicos - Otro,False,MODELO DE GESTION PARTICIPATIVA AMUCC,No aplica. ,Colombia,2008,,,
0000639893,SONIA DEL CONSUELO GAVIRIA ARMERO,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACIÓN DE MUJERES CAFICULTORAS DEL CAUCA AMUCC,Producción técnica - Productos tecnológicos - Otro,False,PROTOCOLO DE CERTIFICACION,No aplica. Convenio de no registro,Colombia,2007,,,
0000247243,MARIA ELENA SOLARTE CRUZ,ssss,Producción técnica - Productos tecnológicos - Gen Clonado,False,fasdf,,Colombia,2014,,,
0000734438,"PAOLA ANDREA TOVAR TOVAR, GILLERMO MAMBAGUE PINIMUE, PATRICIA VILLAMARIN, ELIZABETH TABARES TRUJILLO",Analisis e identificacion de los restos oseos de Franciaso Jose de Caldas,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2007,"antropologia forense, antropologia biologica, bioarqueologia","Humanidades -- Historia y Arqueología -- Arqueología, Ciencias Sociales -- Sociología -- Antropología",Educación
0000272140,"CAROLINA DEL CAIRO SILVA, ASTRID LORENA PERAFAN LEDEZMA",Cartilla: Recorriendo los caminos de la Bota Caucana y el Macizo Colombiano.,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2001,"Memoria Social Agrícola, colonización, grupos indígenas, territorio, Proyectos productivos, Producción y comercialización",Ciencias Sociales -- Sociología -- Antropología,
0000011347,MARIO FRANCISCO DELGADO NOGUERA,Conferencia Seminario Taller de Investigación Biomédica,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2009,,,
