idcvlac,nombre,fecha
0001535173,"GANADORES DEL CONCURSO A CIENCIA CIERTA POR EL PROYECTO ""SISTEMA DE INFORMACIÓN PARA EL ACUEDUCTO SAN ROQUE"",Ministerio de Ciencia, Tecnología e Innovación",Noviembrede 2013
0000074802,"PLACA Y CERTIFICACION POR OCUPAR EL PRIMER PUESTO DURANTE LA PONENCIA NACIONAL E INTERNACIONAL, SOBRE EL TRABAJO: SITIO WEB Y ACTUALIZACION SISTEMA DE INFORMACION PARA LA APICOLA EL VENTANAL DE TUNIA-PIENDAMO-CAUCA-COLOMBIA,ESCUELA DE POLICÍA SIMÓN BOLÍVAR DE TULUÁ",Mayode 2016
0000894796,"Distincion Unicomfacauca egresado destacado en investigaciones 2017,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Diciembrede 2017
0000894796,"Premio nacional  mejor investigación biología vegetal 52 congreso ACCB,Asociación Colombiana De Ciencias Biológicas - A.C.C.B",Octubrede 2017
0000894796,"Distincion Docente Investigador Unicomfacauca,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Diciembrede 2017
0001361780,"Cualificación en competencias clave para el ejercicio docente en Tic,UNIVERSIDAD SANTIAGO DE CALI",Noviembrede 2013
0001361780,"Edición Especial,Redie",Noviembrede 2012
0001361780,"Estructuración de Libro Metricas de Aprendizaje en Seguridad Informatica,Universidad Mayor",Diciembrede 2018
0001361780,"Investigador Junior - Colciencias,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2018
0001361780,"Expositora del Proyecto Parque Ecotematico FUP, en la Sexta semana Social FUP 2012,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2012
0001361780,"REDACCIÓN Y ESTRUCTURACIÓN DEL DOCUMENTO DE LA ESPECIALIZACIÓN EN EDUMATICA,CORPORACIÓN UNIVERSITARIA AUTÓNOMA DEL CAUCA",Mayode 2014
0001361780,"Realización y Gestión de la Especialización en Tecnologías de la Información y la Comunicación en Educacion,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Abrilde 2015
0001361780,"Curso de actualización en la docencia ,UNIVERSIDAD SANTIAGO DE CALI",Noviembrede 2013
0001361780,"OEA un estudio comparativo del aprendizaje de los estudiantes de  programa de ingenierias de sistemas utilizando ambientes virtuales Blearning con el modelo pedagógico traficional ,UNIVERSIDAD SANTIAGO DE CALI",Noviembrede 2013
0001361780,"Jornada de fortalecimiento de las competencias de los pares academicos de la educación superior,Ministerio De Educación Nacional - Mineducación",Octubrede 2013
0001361780,"Desempeño y compromiso, contribuyendo al cumplimiento oportuno y eficaz de los objetivos institucionales, demostrando liderazgo y capacidad de ejecución.,ESCUELA MILITAR DE AVIACIÓN MARCO FIDEL SUAREZ EMAVI",Octubrede 2021
0001361780,"La Universidad de Guadalajara a traves del Centro Universitario del Norte, hace constar la realizacion del diseño del Plan Curricular, Diseño Instruccional, Desarrollo Tecnologico, haciendo uso de la plataforma de aprendizaje Moodle y la Implementacion de,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Marzode 2020
0001361780,"La Universidad de Guadalajara a traves del Centro Universitario del Norte, hace constar el desarrollo del Modulo I: ""Entornos virtuales de Enseñanza (EVEA), del Diplomado en innovacion de procesos de Gestión Educativa por medio del Uso de TIC, establecido,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Marzode 2020
0001361780,"Par Evaluador de Proyectos de Investigación - Universidad Tecnologica de Pereira,UNIVERSIDAD TECNOLÓGICA DE PEREIRA",Noviembrede 2019
0000333816,"Mejor Docente,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Mayode 2014
0001674493,"Egresado destacado,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Noviembrede 2019
0001674493,"Certificado de Reconocimiento ,Universidad Nacional Pedro Ruiz Gallo",Agostode 2016
0001462299,"Premio Planeta azul 2017,Banco de Occidente",Octubrede 2017
0001353314,"Mención de Honor proyecto de grado,Institución Universitaria Colegio Mayor del Cauca",Juniode 2016
0001353314,"Nominación a Mejor Artículo en Congreso Internacional CLIHC 2011: ""Diseñando Interfaces Gráficas Usables de Aplicaciones en Entornos de TDi""",Octubrede 2011
0001353314,"Resolución 2° Puesto en la Maratón de Desarrollo de Aplicaciones Móviles Comcel, Nokia ,UNIVERSIDAD DEL CAUCA",Octubrede 2007
0001353314,"Resolución por 4° Puesto en la 3° Maratón de Desarrollo de Aplicaciones Móviles Comcel, Nokia  ,UNIVERSIDAD DEL CAUCA",Octubrede 2006
0001387326,"Por su desempeño destacado en la investigación y desarrollo,PROYECTAMOS: CONSULTORÍAS Y SERVICIOS INTEGRALES SAS",Enerode 2021
0001365599,pHealth 2014 - Young Scientist Best Paper Award,Juniode 2014
0001365599,"Finalista Tercera Maratón de Desarrolladores,Centro De Investigación De Las Telecomunicaciones - Cintel",Octubrede 2006
0001365599,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Febrerode 2003
0001365599,"Media Matricula de Honor,UNIVERSIDAD DEL CAUCA",Agostode 2004
0001365599,"Segundo Puesto en la IV Maratón de desarrolladores,Centro De Investigación De Las Telecomunicaciones - Cintel",Octubrede 2007
0000523496,"Reconocimiento como Evaluador de la Revista de investigaciones I+D+i edición 2018,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Diciembrede 2018
0000523496,"Ganador Concurso de Tesis de Maestría,Centro Latinoamericano de Estudios en Informática",Octubrede 2020
0000523496,"Ganador mejor ponencia en Capítulo de Interacción Humano-Computador del Simposio SCO2,Sociedad Colombiana de Computación",Octubrede 2020
0001499924,"Reconocimiento Jonas RunDQuist a la Innovación, por el proyecto Conformación de Núcleos de Innovación Fundamentados en la Gestión del Conocimiento de productos Innovadores en el Cauca.,Proyecto núcleos de innovación",Septiembrede 2015
0001499924,"Egresado distinguido por actividad empresarial,Colegio Mayor Del Cauca - Institución Universitaria",Juniode 2016
0001499924,"Beca meritos al mejor estudiante,Colegio Mayor Del Cauca - Institución Universitaria",Juniode 2002
0001499924,"primer puesto Maraton de programación,Colegio Mayor Del Cauca - Institución Universitaria",Octubrede 2001
0000374865,"Emprendimiento Libre 2003,Red de parques tecnologicos del software",de 2003
0000374920,"Mension de Honor - Tesis del pregrado,UNIVERSIDAD DEL CAUCA",Octubrede 1984
0000212440,"Mejor Proyecto Innovador,UCICA",de 2002
0000212440,"2 Puesto en el 1er Congreso Nacional de Economía Solidaria,Universidad Javeriana y DANSOCIAL",de 2004
0000212440,"Mejor Proyecto en el Sector Agropecuario (Sistema Agropecuario Integral Inteligente),UNIVERSIDAD DEL CAUCA",de 2003
0000170944,"Proyecto sobresaliente XII Encuentro Departamental de Semilleros de Investigación (EDESI2018),Fundacion Red Colombiana de Semilleros de Investigacion RedColsi -  Nodo Bucaramanga",Juniode 2018
0001412477,"Beca de Movilidad Académica entre Universidades Andaluzas e Iberoamericanas asociadas a la AUIP,Asociación Universitaria  Iberoamericana de Postgrado",Octubrede 2017
0001412477,"Primer puesto en la décima Convocatoria de Apoyo a proyectos de Investigación, Desarrollo e Innovación en el  marco de Maestrías, Doctorados y Especialidades Médico Quirúrgicas. Resolución N° 01 de 2017,UNIVERSIDAD DEL CAUCA",Octubrede 2017
0001412477,"Tesis Laureada,UNIVERSIDAD DEL CAUCA",Enerode 2013
0001412477,"Media Matrícula de Honor,UNIVERSIDAD DEL CAUCA",Noviembrede 2007
0001412477,"Tesis meritoria,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Febrerode 2021
0001412477,"Primer puesto en la V Convocatoria de Prototipado - Unicomfacauca,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Octubrede 2020
0001698898,"Reconocimiento Proyecto Sobresaliente,Fundacion Red Colombiana de Semilleros de Investigacion RedColsi -  Nodo Bucaramanga",Juliode 2019
0001492988,"Merito a la Innovación Educativa,Colegio Mayor Del Cauca - Institución Universitaria",Octubrede 2018
0001492988,"Mención de Honor,Colegio Mayor Del Cauca - Institución Universitaria",Diciembrede 2022
0001492988,"Mención de Honor,Colegio Mayor Del Cauca - Institución Universitaria",Abrilde 2019
0001492988,"Trabajo de grado Laureado,Colegio Mayor Del Cauca - Institución Universitaria",Abrilde 2020
0001492988,"Mención Como trabajo Laureado,Colegio Mayor Del Cauca - Institución Universitaria",Enerode 2022
0000438456,Beca de la Agencia Española de Cooperación Internacional en curso de especialización intensiva en producción de documentales,Marzode 1998
0000438456,"Beca para realizar estudios de doctorado,Comisión Fullbright",Juliode 2007
0000438456,"Premio Departamental de Periodismo Francisco Lemos Arboleda,Departamento del Cauca",de 1997
0000438456,"Premio Departamental de Periodismo Francisco Lemos Arboleda-Modalidad Trabajo Ecológico,Departamento del Cauca",Agostode 1997
0000900893,"Mención de Honor Munoz- B,Colegio Mayor Del Cauca - Institución Universitaria",Septiembrede 2015
0000900893,"Mencion de Honor Melo_Correa,Colegio Mayor Del Cauca - Institución Universitaria",Marzode 2017
0000900893,"Mencion de Honor 2021,Colegio Mayor Del Cauca - Institución Universitaria",Septiembrede 2021
0000900893,"Excelencia Labor Docente,Colegio Mayor Del Cauca - Institución Universitaria",Mayode 2019
0000900893,"Mejor Poster ,UNIVERSIDAD DEL CAUCA",Abrilde 2018
0001727629,"Ganador Primer Lugar Quinta Convocatoria de Prototipado 2020,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Octubrede 2020
0001727629,"Producción de investigación,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Agostode 2020
0001727629,"Construcción de un índice de vegetación mejorado para la detección de deforestación en el Amazonas basado en programación genética,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Juliode 2019
0001620320,"Beneficiaria Convocatoria de Doctorados Nacionales 2017 - # 785,Ministerio de Ciencia, Tecnología e Innovación",Enerode 2018
0001620320,"Ganador I Convocatoria de BECAS INTERNACIONALES DE EXCELENCIA ALIANZA DEL PACÍFICO.,Universidad De Extremadura",Septiembrede 2014
0001620320,"Ganador Programa de Movilidad Académica entre Universidades Andaluzas e Iberoamericanas asociadas a la AUIP,Asociación Universitaria  Iberoamericana de Postgrado",Marzode 2015
0001620320,"Joven Investigador - Colciencias,Ministerio de Ciencia, Tecnología e Innovación",Juliode 2014
0001620320,"Reconocimiento por producción de investigación ,CORPORACIÓN  UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA",Agostode 2020
0001620320,"Premio al mejor trabajo de Simposio Doctoral en el 14 Congreso Colombiano de Computacion,Universidad Cesmag",Septiembrede 2019
0001620320,"Proyecto destacado en el área de datos, información y conocimiento,Sociedad Colombiana de Computación",Octubrede 2020
0000001761,"Mención Andres Bello,Instituto Colombiano para la Evaluación de la Educación",Juliode 2002
0000001761,"Medalla Universidad del Cauca,UNIVERSIDAD DEL CAUCA",Agostode 2008
0001348276,"Estimulo,UNIVERSIDAD DEL VALLE",Diciembrede 2010
0001348276,"Estimulo,UNIVERSIDAD DEL VALLE",Juniode 2011
0000002006,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Juniode 2009
0000002006,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Juliode 2005
0000002006,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Febrerode 2006
0000002006,"Matricular de Honor,UNIVERSIDAD DEL CAUCA",Juniode 2007
0000002006,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Juniode 2010
0000002006,"Matricula de Honor,UNIVERSIDAD DEL CAUCA",Juniode 2008
0000063743,"Nota especial en CURSO ESPECIAL EN PEDAGOGÍA BÁSICA PARA ORIENTAR LA FORMACIÓN PROFESIONAL INTEGRAL,Servicio Nacional De Aprendizaje Sede Popayan",Diciembrede 2014
0000000404,"Ganadora de la Convocatoria Nacional para el Programa Jóvenes Investigadores e Innovadores año 2012,Ministerio de Ciencia, Tecnología e Innovación",Febrerode 2013
0000000404,"Mención tesis de pregrado en Historia: Lauredo,UNIVERSIDAD DEL VALLE",Juliode 2012
0000000404,"Elegida como beneficiaria del programa de Asistente de Docencia de la Maestría en Historia de la Universidad del Valle,UNIVERSIDAD DEL VALLE",Febrerode 2014
0000000404,"Becaria en la Convocatoria de Becas CONACYT en el Colegio de México,EL COLEGIO DE MEXICO",Agostode 2015
0000000404,"Seleccionada en la convocatoria del Programa de Becas de Integración Regional para ciudadanos de Latinoamérica y el Caribe que otorga el Ministerio de Educación, Cultura, Ciencia y Tecnología de la República Argentina, Ministerio de EducaciÃ³n, Cultura, Ciencia y TecnologÃ­a",Diciembrede 2018
0001351820,"Premio Cuadernos Coloniales II 2019 ,Instituto Colombiano De Antropología E Historia - Icanh",Mayode 2019
0000709786,"proyecto de Investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Octubrede 2018
0000709786,"Investigador Destacado-Investigador Junior,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2018
0000709786,"Tesis Honorifica,FUNDACION UNIVERSITARIA DE POPAYAN",Diciembrede 2016
0000709786,"Mención al mejor trabajo de Industria,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2021
0000709786,"Reconocimiento a Semillero Investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Noviembrede 2019
0000724971,"Beca completa para la asistencia a la Escuela de invierno J. J. Giambiagi - Físicos en el mundo de la salud: un encuentro transdisciplinario,CELFI - CENTRO LATINOAMERICANO DE FORMACIÓN INTERDISCIPLINARIA",Juliode 2018
0000724971,"Beca B+ para la asistencia a la V Escuela Nanoandes,Cooperación Francesa para América del Sur",Noviembrede 2015
0000724971,"Beca completa para la asistencia a la Escuela de verano 2019 ¿ Programa de doctorado en ciencias biomédicas,UNIVERSIDAD DE CHILE",Enerode 2019
0000724971,"Beca completa para la asistencia a 1st São Carlos Advanced School on Materials Science & Engineering (SanCAS-MSE),Universidade Federal de São Carlos",Marzode 2012
0000173229,"DIPLOMA DE EXCELENCIA DOCENTE ,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2019
0000173229,"Por su destacada labor docente PROGRAMA DE INGENIERÍA INDUSTRIAL,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2019
0000173229,"Ganador categoría Investigación en docencia CIDESCO,Corporación para la Integración y desarrollo de la educación en el suroccidente colombiano",Juniode 2023
0000173229,"Docencia de Excelencia,FUNDACION UNIVERSITARIA DE POPAYAN",Septiembrede 2021
0000173229,"POR SU APORTE EN LAS ESTRATEGIAS DE FORTALECIMIENTO DE LA IMAGEN COORPORATIVA DEL HOSPITAL FRANCISCO DE PAULA SANTANDER E.S.E.,HOSPITAL FRANCISCO DE PAULA SANTANDER",Febrerode 2013
0000521965,"Docente investigador,FUNDACION UNIVERSITARIA DE POPAYAN",Septiembrede 2018
0000521965,"Investigador,FUNDACION UNIVERSITARIA DE POPAYAN",Octubrede 2018
0000521965,"Grado de Honor,FUNDACION UNIVERSITARIA DE POPAYAN",Juniode 2019
0000521965,"Investigador Junior,FUNDACION UNIVERSITARIA DE POPAYAN",Noviembrede 2019
0000032920,"II Jornada de Divulgación de Resultados de Semilleros de Investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Marzode 2018
0000032920,"Grado de Honor,FUNDACION UNIVERSITARIA DE POPAYAN",Juniode 2019
0000032920,"Evaluador en el III Encuentro Institucional de Semilleros de Investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2019
0001649662,"Mención Honorífica al trabajo de grado titulado ""Evaluación mediante herramientas tecnológicas de la habilidad motriz fina de  miembro superior: caso de estudio"",UNIVERSIDAD DEL CAUCA",Septiembrede 2017
0001624639,"¿Reconocimiento en la Orden del Mérito de Docencia de Excelencia: Categoría Mejor Docente evaluado por los Estudiantes¿,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2023
0001624639,"Mención de Honor,FUNDACION UNIVERSITARIA DE POPAYAN",Juniode 2019
0001760200,"EGRESADO DESTACADO,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2021
0000129494,"Joven Investigadora,FUNDACION UNIVERSITARIA DE POPAYAN",Octubrede 2018
0000129494,"Mejor Valoración de trabajo - Conferencia Internacional de Ingeniería Inngenio 2018,Corporación Instituto Antioqueño de Investigación",Agostode 2018
0000129494,"II Jornada Interna de socialización de proyectos de investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Marzode 2018
0000129494,"Semestre de Industria Destacado: 2019,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2019
0000129494,"Orden al mérito investigativo,FUNDACION UNIVERSITARIA DE POPAYAN",Noviembrede 2022
0000129494,"Primer puesto VI Encuentro de Semilleros de Investigación Sinergia y Creatividad,UNIVERSIDAD MANUELA BELTRAN",Noviembrede 2022
0000129494,"Semestre de Industria Destacado,FUNDACION UNIVERSITARIA DE POPAYAN",Noviembrede 2018
0000129494,"III Encuentro Institucional de Semilleros de Investigación,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2019
0000411884,"PROYECTO SOBRESALIENTE,Fundacion Red Colombiana de Semilleros de Investigacion RedColsi - Nodo Cauca",Juliode 2019
0000411884,"INVESTIGADOR ASOCIADO MINCIENCIAS,Ministerio de Ciencia, Tecnología e Innovación - Minciencias",Juliode 2022
0000411884,"MEJOR DOCENTE INVESTIGADOR,FUNDACION UNIVERSITARIA DE POPAYAN",Abrilde 2022
0000411884,"Resolucion Creacion SpinOff Biohogar R&D,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2023
0000411884,"ORDEN DE MERITO INVESTIGATIVO,FUNDACION UNIVERSITARIA DE POPAYAN",Noviembrede 2022
0000411884,"GESTOR DEL PROYECTO BIOHOGAR R&D,FUNDACION UNIVERSITARIA DE POPAYAN",Mayode 2023
0000411884,"Docente Investigador,FUNDACION UNIVERSITARIA DE POPAYAN",Octubrede 2018
0000411884,"ACUAPONIA DIGITAL PARA TODOS,UNIVERSIDAD DE LOS ANDES",Octubrede 2020
0000267244,participación y aporte como padrino tecnológico,Juniode 2018
0000267244,Trayectoria investigativa,Abrilde 2018
0000267244,Reconocimiento por invaluable aporte al fortalecimiento organizativo,Diciembrede 2017
0000267244,Mención Meritoria,Enerode 2019
0000267244,"Investigador Destacado,UNIVERSIDAD DEL CAUCA",Agostode 2015
0000267244,"Premio Nacional de la Ganaderia,Federación De Ganaderos De Colombia - Fedegan",Octubrede 2009
0000267244,"Mencion meritoria año 2018,UNIVERSIDAD DEL CAUCA",Mayode 2018
0000267244,"Mencion meritoria,UNIVERSIDAD DEL CAUCA",Marzode 2021
0000347485,"Exaltar la labor realizada por los directores de los proyectos del fondo de Ciencia Tecnología e Innovación, financiados por el Sistema General de Regalías para el Departamento del Cauca,UNIVERSIDAD DEL CAUCA",Diciembrede 2015
0000347485,Tesis Meritoria,Marzode 2008
0000347485,"Primer lugar con el poster ¿ Utilización de microorganismos eficientes (EM), como alternativa de manejo en efluentes porcícolasdel Departamento del Cauca¿ en la sesión de Taxonomía y Ecología de Organismos Acuáticos del 14 de noviembre de 2008,Asociación Colombiana De Limnología",Noviembrede 2008
0000347485,"I Jornada Ambiental  - Facultad de Ciencias Agropecuarias,UNIVERSIDAD DEL CAUCA",Diciembrede 2006
0000347485,"Tesis Meritoria,UNIVERSIDAD DEL CAUCA",Noviembrede 2019
0000720011,"Compromiso, responsabilidad y participación Activa en la Institución,Colegio Mayor Del Cauca - Institución Universitaria",Mayode 2017
0000720011,"Mejor Docente Facultad de Ingeniería programa de Ingeniería Informática,Colegio Mayor Del Cauca - Institución Universitaria",Mayode 2016
0000720011,"Beca Colciencias Doctorados Nacionales Convocatoria 785 de 2017,Colciencias",Febrerode 2017
0000720011,"Beca otorgada para la realización del curso en Dispositivos fotovoltaicos y optoelectrónicos. Diseño y desarrollo de tecnologías limpias y sustentables. Aplicación e impacto social,CENTRO LATINOAMERICANO DE FORMACIÓN INTERDISCIPLINARIA (CELFI)-SUSTENTABILIDAD Y DESARROLLO",Mayode 2019
0000720011,"Excelente Labor Docente en la Facultad de Ingenierías-Programa de Ingeniería informática,Institución Universitaria Colegio Mayor del Cauca",Mayode 2018
0001237675,"Beca por excelencia academica en posgrado IV semestre,Universidad Nacional de Colombia - Sede Palmira",Agostode 2009
0001237675,"Beca por excelencia academica en posgrado II semestre,Universidad Nacional de Colombia - Sede Palmira",Agostode 2008
0001237675,"Beca por excelencia academica en posgrado III semestre,Universidad Nacional de Colombia - Sede Palmira",Febrerode 2009
0001237675,"Beca por mejor promedio de notas en primer semestre de pregrado,UNIVERSIDAD DEL CAUCA",de 2001
0001237675,"Beca por excelencia academica en posgrado I semestre,Universidad Nacional de Colombia - Sede Palmira",Febrerode 2008
0001370725,"Mensiòn de Honor por tesis,UNIVERSIDAD DEL CAUCA",Octubrede 2010
0001370725,"Tesis meritoria,UNIVERSIDAD DEL CAUCA",Marzode 2019
0001370725,"Mención de honor,UNIVERSIDAD DEL CAUCA",Juniode 2018
0001370725,"Mejor promedio estudiante de posgrado,UNIVERSIDAD NACIONAL DE COLOMBIA",Agostode 2014
0001370725,"Reconocimiento por la loable labor desempeñada al frente de la institución  ,Corporación Autónoma Regional del Cauca",Mayode 2014
0001370725,"Mejor promedio estudiante de posgrado,UNIVERSIDAD NACIONAL DE COLOMBIA",Febrerode 2015
