idcvlac,autores,nombre,tipo,nit,registro_camara,verificado,palabras,areas,sectores
0000637939,HEYDY BELSY PABON ORTIZ,Inteligentemente,Producción técnica - Empresa de base tecnológica - Start-up,900518147,2012-04-19 00:00:00.0,False,,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,"Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas, Otros sectores - Información y Gestión C"
0001592722,JHOANNA CRISTYNA GUZMAN AGREDO,ENKI SOFTWARE AND CONSULTING SERVICES SAS,Producción técnica - Empresa de base tecnológica - Start-up,901147596-8,2018-01-22 00:00:00.0,False,,Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,
0000021880,"JUAN CAMILO OSPINA QUINTERO, JAIRO DAVID ERAZO BOTERO, WILFRED FABIAN RIVERA MARTINEZ",Smartsoft Play,Producción técnica - Empresa de base tecnológica - Start-up,900714751-2,2014-03-20 00:00:00.0,False,,,
0000021880,"JHOANNA CRISTYNA GUZMAN AGREDO, JUAN CAMILO OSPINA QUINTERO",Enki Software and Consulting Services SAS,Producción técnica - Empresa de base tecnológica - Start-up,901147596-8,2018-01-22 00:00:00.0,False,,,
0001465825,JUAN FERNANDO CASANOVA OLAYA,Ecotecma S.A.S,Producción técnica - Empresa de base tecnológica - Start-up,9006980967,2014-02-04 00:00:00.0,True,,"Ciencias Agrícolas -- Agricultura, Silvicultura y Pesca -- Agricultura, Ciencias Agrícolas -- Agricultura, Silvicultura y Pesca -- Ciencias del Suelo, Ciencias Agrícolas -- Agricultura, Silvicultura y Pesca -- Agronomía, Ingeniería y Tecnología -- Ingeniería Ambiental -- Sensores Remotos, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software), Agricultura, pecuaria, silvicultura, explotación forestal - Otro, Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas, Previsión del tiempo y prospección climática"
0001543888,JULIANA AGUILAR PINO,IDEAS GROUP,Producción técnica - Empresa de base tecnológica - Start-up,900.882.433-4,2016-08-26 00:00:00.0,False,,,
0000082866,MARIA CRISTINA CHAPARRO VELASCO,Vult SAS,Producción técnica - Empresa de base tecnológica - Start-up,900973863-9,2016-05-19 00:00:00.0,False,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Hardware y Arquitectura de Computadores",
0000117994,PAOLA ANDREA OTERO CANO,Green Fish,Producción técnica - Empresa de base tecnológica - Start-up,1061721372-1,2016-11-26 00:00:00.0,True,,,
0001469933,"DIEGO FELIPE SANCHEZ GOMEZ, ROBERT MAURICIO QUINONES ZUNIGA, JHONATAN ALVAREZ CAICEDO, DARIO FERNANDO CHAMORRO VELA",BeeTIC,Producción técnica - Empresa de base tecnológica - Start-up,900981802,2016-06-16 00:00:00.0,False,"TIC, Agricultura",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Agricultura, pecuaria, silvicultura, explotación forestal - Otro"
0000021883,VICTOR GARZON MARIN,Percent Studios SAS,Producción técnica - Empresa de base tecnológica - Start-up,901070274-9,2017-04-04 00:00:00.0,False,,,
0001386997,BIBIANA YEANETH GARCES CONSTAIN,Kishrón,Producción técnica - Empresa de base tecnológica - Start-up,900892750-7,2019-01-25 00:00:00.0,False,,,
0001623116,JHON ALEXANDER GUERRERO NARVAEZ,Ecoingeniería Sostenible S.A.S,Producción técnica - Empresa de base tecnológica - Start-up,901209774-1,2018-08-30 00:00:00.0,True,,,
0000352691,EDGAR LEONAIRO PENCUE FIERRO,Sintevsa Tecnologías Digitales Ltda,Producción técnica - Empresa de base tecnológica - Spin-off,900215099-7,2008-04-28 00:00:00.0,False,,,
0001176676,"CARLOS FELIPE ORDONEZ URBANO, CESAR ALBERTO SARRIA VILLA",hutek inc sas,Producción técnica - Empresa de base tecnológica - Start-up,900893882-5,2015-09-28 00:00:00.0,False,"Diseño Hardware/software, Internet de los Objetos, Servicios y plataformas web, Sistema de VideoVigilancia, Sistema de monitoreo",,
0000040856,JHONATTAN SOLARTE MARTINEZ,Medical Cloud S.A.S,Producción técnica - Empresa de base tecnológica - Spin-off,900.971.963-8,2016-05-13 00:00:00.0,False,"Gestion Clinica Pacientes, Historia Clinica, Software Nube","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software), Desarrollo de programas (software) y prestación de servicios en informática - Actividades de base de datos, Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática"
