idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000202436,JULIO CESAR OSSA OSSA,Los Garajes,Producción técnica - Prototipo - Industrial,True,,,Colombia,2005,"Desarrollo Representacional, Herramientas científicas, Psicología Cognitiva, Razonamiento Científico, Resolución de problemas","Ciencias Sociales -- Psicología -- Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Educación
0000202436,JULIO CESAR OSSA OSSA,Situación de las abejas,Producción técnica - Prototipo - Industrial,True,,,Colombia,2005,"Desarrollo Representacional, Herramientas científicas, Razonamiento Científico, Resolución de problemas, Psicología Cognitiva","Ciencias Sociales -- Psicología -- Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Educación
0000202436,JULIO CESAR OSSA OSSA,Eje Rotor,Producción técnica - Prototipo - Industrial,True,,,Colombia,2005,"Desarrollo Representacional, Herramientas científicas, Resolución de problemas, Razonamiento Científico, Psicología Cognitiva","Ciencias Sociales -- Psicología -- Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Educación
0000202436,JULIO CESAR OSSA OSSA,Carro de Velocidades,Producción técnica - Prototipo - Industrial,True,,,Brasil,2005,"Herramientas científicas, Desarrollo Representacional, Resolución de problemas, Razonamiento Científico, Psicología Cognitiva","Ciencias Sociales -- Psicología -- Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Educación
0000707813,DIEGO CORAL CORAL,"Aplicador de campos magnéticos de radiofrecuencia portátil para experimentación en terapia oncológica alternativas en modelos murinos, cultivos celulares y ferrofluidos",Producción técnica - Prototipo - Servicios,True,,,Argentina,2015,,,
0000707813,DIEGO CORAL CORAL,Aplicador de campo magnético constante para la línea SAXS2 del LNLS,Producción técnica - Prototipo - Servicios,True,,,Brasil,2015,,,
0000534250,DIEGO MAURICIO SANDOVAL CERON,Máquina para desfibrado de fique,Producción técnica - Prototipo - Industrial,True,,,Colombia,2016,,,
0000682152,EFREDY DELGADO AGUILERA,circuito electrónico y mecánico de ventilación temporizado de recarga solar para eliminación de co2,Producción técnica - Prototipo - Industrial,False,,,Colombia,2009,"recarga bateria litio, Ventilación, Control","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería Eléctrica y Electrónica","Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal"
0001233416,PABLO VEGA VASQUEZ,Formulación de agentes saborizantes y aromatizantes nano emulsionado a apartir de aceites esenciales y aceites fijos vegetales,Producción técnica - Prototipo - Industrial,False,,,Colombia,2013,"aceites esenciales, alimentos funcionales, nanoemulsiones",Ingeniería y Tecnología -- Nanotecnología -- Nanomateriales (Producción y Propiedades),Desarrollo de nuevos materiales
0001233416,PABLO VEGA VASQUEZ,Desinfectante orgánico nano-emulsionado a partir de aceites esenciales vegetales,Producción técnica - Prototipo - Industrial,False,,,Colombia,2013,"aceites esenciales, nanoemulsiones, desinfectante","Ingeniería y Tecnología -- Nanotecnología -- Nanoprocesos (Aplicaciones a Nanoescala), Ciencias Naturales -- Ciencias Químicas -- Química de los Coloides, Ciencias Naturales -- Ciencias Biológicas -- Biología Celular y Microbiología, Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados","Actividades en el campo de las nanotecnologías y desarrollo de nanoproductos, Desarrollo de nuevos materiales, Otros sectores - Calidad y Productividad"
